,Unnamed: 0,Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
147,147,Montana Snowbowl,Montana,Montana,7600,2600,5000,0,0.0,0,0,0,0,2,2,4,37.0,0.0,1.2,950.0,20.0,115.10394265232976,58.0,300.0,50.0,50.0,120.0530035335689,10.0,1
149,149,Showdown Montana,Montana,Montana,8200,1400,6800,0,0.0,0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,174.87323943661968,86.0,83.0,250.0,47.0,47.0,85.0,0.0,1
154,154,Lee Canyon,Nevada,Nevada,11289,860,8510,0,0.0,0,0,2,1,0,0,3,24.0,1.0,0.3,195.0,50.0,144.0,56.0,161.0,70.0,70.0,150.0,0.0,1
156,156,Attitash,New Hampshire,New Hampshire,2350,1750,600,0,0.0,0,2,1,3,2,1,9,68.0,3.0,3.0,311.0,240.0,115.0,54.0,120.0,79.0,89.0,130.0,0.0,0
157,157,Black Mountain,New Hampshire,New Hampshire,2350,1100,1250,0,0.0,0,0,0,1,1,3,5,45.0,0.0,1.6,143.0,120.0,110.0,84.0,125.0,45.0,59.0,107.0,0.0,0
160,160,Cranmore Mountain Resort,New Hampshire,New Hampshire,2000,1200,600,0,0.0,0,1,1,2,1,2,7,57.0,4.0,1.0,200.0,192.0,107.0,82.0,150.0,57.91695652173913,64.16681003584229,128.0,0.0,0
162,162,Dartmouth Skiway,New Hampshire,New Hampshire,1943,969,974,0,0.0,0,0,1,0,1,2,4,28.0,1.0,1.1,107.0,54.0,104.0,63.0,100.0,50.0,50.0,105.0,0.0,0
163,163,Gunstock,New Hampshire,New Hampshire,2300,1400,900,0,0.0,0,1,2,2,0,1,6,55.0,4.0,1.5,227.0,176.0,106.0,82.0,120.0,80.0,92.0,120.0530035335689,60.0,0
164,164,King Pine,New Hampshire,New Hampshire,850,350,500,0,0.0,0,0,0,3,0,3,6,17.0,2.0,0.3,48.0,45.0,105.0,57.0,120.0,42.0,58.0,107.0,23.0,0
166,166,Mount Sunapee,New Hampshire,New Hampshire,2743,1510,1233,0,0.0,0,2,1,2,1,4,10,66.0,4.0,0.8,232.0,215.0,130.0,71.0,100.0,83.0,93.0,136.0,0.0,2
167,167,Pats Peak,New Hampshire,New Hampshire,1460,770,690,0,0.0,0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,58.0,72.0,112.0,93.0,0
169,169,Waterville Valley,New Hampshire,New Hampshire,4004,2020,1984,0,0.0,0,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,79.0,93.0,142.0,0.0,2
170,170,Whaleback Mountain,New Hampshire,New Hampshire,1800,700,1100,0,0.0,0,0,0,0,1,3,4,30.0,1.0,1.0,85.0,60.0,105.0,64.0,110.0,30.0,45.0,105.0,55.0,0
171,171,Wildcat Mountain,New Hampshire,New Hampshire,4062,2112,1950,0,0.0,0,1,0,3,0,1,5,48.0,0.0,2.8,225.0,200.0,156.0,61.0,200.0,79.0,89.0,150.0,0.0,2
172,172,Campgaw Mountain,New Jersey,New Jersey,726,274,450,0,0.0,0,0,0,0,2,3,5,12.0,1.0,0.3,23.0,23.0,80.0,58.0,45.0,57.91695652173913,64.16681003584229,120.0530035335689,14.0,0
174,174,Angel Fire Resort,New Mexico,New Mexico,10677,2077,8600,0,0.0,0,2,0,0,3,2,7,81.0,3.0,3.0,560.0,230.0,101.0,53.0,210.0,77.0,77.0,101.0,50.0,1
175,175,Enchanted Forest Ski Area,New Mexico,New Mexico,10078,400,9820,0,0.0,0,0,0,0,0,0,0,33.0,0.0,2.5,600.0,174.87323943661968,130.0,34.0,240.0,20.0,20.0,140.0,0.0,1
176,176,Pajarito Mountain Ski Area,New Mexico,New Mexico,10441,1410,9031,0,0.0,0,0,1,1,3,1,6,45.0,2.0,0.6,750.0,35.0,89.0,62.0,163.0,49.0,49.0,117.0,0.0,1
177,177,Red River,New Mexico,New Mexico,10350,1600,8750,0,0.0,0,0,1,3,1,2,7,63.0,3.0,2.5,209.0,174.87323943661968,110.0,60.0,214.0,79.0,79.0,120.0530035335689,0.0,1
179,179,Sipapu Ski Resort,New Mexico,New Mexico,9255,1055,8200,0,0.0,0,0,1,2,0,3,6,42.0,4.0,0.5,200.0,140.0,127.0,67.0,190.0,47.0,47.0,143.0,0.0,1
181,181,Ski Santa Fe,New Mexico,New Mexico,12075,1725,10350,0,0.0,0,0,1,2,2,2,7,83.0,1.0,3.0,660.0,275.0,107.0,73.0,225.0,80.0,80.0,130.0,0.0,1
185,185,Bristol Mountain,New York,New York,2200,1200,1000,0,0.0,0,2,1,1,1,1,6,34.0,3.0,2.0,160.0,148.0,129.0,55.0,60.0,65.0,76.0,129.0,154.0,0
187,187,Catamount,New York,New York,2000,1000,1000,0,0.0,0,0,1,1,2,3,7,36.0,5.0,2.0,133.0,130.0,100.0,80.0,108.0,38.0,69.0,90.0,55.0,0
188,188,Dry Hill Ski Area,New York,New York,950,300,650,0,0.0,0,0,0,0,1,2,3,7.0,1.0,0.2,35.0,26.0,115.10394265232976,55.0,125.0,57.91695652173913,35.0,120.0530035335689,26.0,0
190,190,Greek Peak,New York,New York,2100,952,1148,0,0.0,0,0,1,1,4,2,8,56.0,4.0,1.5,220.0,184.0,110.0,62.0,122.0,49.0,63.2,113.0,175.0,0
191,191,Holiday Mountain,New York,New York,1550,400,1150,0,0.0,0,0,1,0,1,2,4,9.0,0.0,0.4,37.0,37.0,75.0,60.0,50.0,27.0,42.0,85.0,37.0,0
193,193,Holimont Ski Area,New York,New York,2260,700,1560,0,0.0,0,1,1,2,3,1,8,53.0,3.0,1.5,135.0,135.0,110.0,57.0,180.0,62.0,75.0,119.0,0.0,0
197,197,Labrador Mt.,New York,New York,1825,700,1125,0,0.0,0,0,0,1,2,1,4,23.0,1.0,1.0,250.0,237.0,115.10394265232976,62.0,125.0,59.0,59.0,100.0,180.0,0
198,198,Maple Ski Ridge,New York,New York,1200,450,750,0,0.0,0,0,0,1,1,1,3,10.0,0.0,0.3,25.0,25.0,115.10394265232976,57.0,185.31645569620247,26.0,38.0,120.0530035335689,20.0,0
199,199,McCauley Mountain Ski Center,New York,New York,2250,633,1563,0,0.0,0,0,0,0,1,4,5,23.0,1.0,0.3,70.0,55.0,105.0,61.0,200.0,20.0,30.0,105.0,0.0,0
200,200,Mount Peter Ski Area,New York,New York,1250,450,750,0,0.0,0,0,1,0,2,2,5,14.0,1.0,1.0,69.0,69.0,100.0,83.0,50.0,35.0,54.0,100.0,69.0,0
201,201,Oak Mountain,New York,New York,2400,650,1750,0,0.0,0,0,1,0,0,3,4,22.0,1.0,1.2,46.0,18.0,115.10394265232976,71.0,120.0,40.0,40.0,120.0530035335689,12.0,0
203,203,Plattekill Mountain,New York,New York,3500,1100,2400,0,0.0,0,0,0,1,1,2,4,38.0,1.0,2.0,110.0,75.0,65.0,26.0,175.0,50.0,67.0,65.0,0.0,2
204,204,Royal Mountain Ski Area,New York,New York,1800,550,1250,0,0.0,0,0,0,0,3,0,3,14.0,0.0,0.3,35.0,28.0,115.10394265232976,63.0,90.0,45.0,45.0,120.0530035335689,0.0,0
205,205,Snow Ridge,New York,New York,2000,650,1350,0,0.0,0,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,38.0,48.0,100.0,40.0,0
206,206,Song Mountain,New York,New York,1940,700,1240,0,0.0,0,0,0,1,1,3,5,24.0,0.0,0.4,93.0,70.0,90.0,55.0,125.0,59.0,59.0,122.0,70.0,0
208,208,Thunder Ridge,New York,New York,1270,500,770,0,0.0,0,0,0,1,2,3,6,30.0,0.0,0.4,100.0,100.0,121.0,60.0,185.31645569620247,57.91695652173913,57.0,121.0,100.0,0
209,209,Titus Mountain,New York,New York,2025,1200,825,0,0.0,0,0,0,2,6,2,10,50.0,3.0,2.0,200.0,150.0,101.0,59.0,150.0,39.0,49.0,100.0,70.0,0
210,210,Toggenburg Mountain,New York,New York,2000,700,1300,0,0.0,0,0,0,1,1,3,5,22.0,2.0,0.4,85.0,174.87323943661968,115.10394265232976,66.0,130.0,55.0,55.0,122.0,73.0,0
211,211,West Mountain,New York,New York,1470,1010,460,0,0.0,0,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,115.10394265232976,58.0,80.0,49.0,59.0,120.0,105.0,0
215,215,Woods Valley Ski Area,New York,New York,1400,500,900,0,0.0,0,0,0,0,2,4,6,21.0,0.0,0.3,25.0,16.0,115.10394265232976,55.0,180.0,31.0,39.0,120.0530035335689,15.0,0
216,216,Appalachian Ski Mountain,North Carolina,North Carolina,4000,365,3635,0,0.0,0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,40.0,64.0,100.0,27.0,2
217,217,Cataloochee Ski Area,North Carolina,North Carolina,5400,740,4660,0,0.0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,43.0,70.0,108.0,50.0,2
221,221,Wolf Ridge Ski Resort,North Carolina,North Carolina,4700,720,4000,0,0.0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,115.10394265232976,49.0,65.0,42.0,65.0,100.0,60.0,2
222,222,Alpine Valley,Ohio,Ohio,1500,230,1260,0,0.0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,43.0,120.0530035335689,72.0,0
223,223,Boston Mills,Ohio,Ohio,871,264,631,0,0.0,0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,44.0,110.0,40.0,0
225,225,Mad River Mountain,Ohio,Ohio,1460,300,1160,0,0.0,0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,99.0,57.0,36.0,39.0,44.0,90.0,144.0,0
226,226,Snow Trails,Ohio,Ohio,1475,301,1174,0,0.0,0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,41.0,52.0,70.0,80.0,0
227,227,Anthony Lakes Mountain Resort,Oregon,Oregon,8000,900,7100,0,0.0,0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,174.87323943661968,75.0,56.0,300.0,40.0,40.0,80.0,0.0,1
228,228,Cooper Spur,Mt. Hood,Oregon,4000,350,3500,0,0.0,0,0,0,0,1,1,2,10.0,0.0,0.1,50.0,174.87323943661968,78.0,66.0,100.0,39.0,39.0,90.0,0.0,2
230,230,Mt. Ashland,Oregon,Oregon,7533,1150,6383,0,0.0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,174.87323943661968,94.0,55.0,300.0,45.0,52.0,92.0,40.0,1
238,238,Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0.0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,50.0,62.0,75.0,26.0,0
240,240,Blue Knob,Pennsylvania,Pennsylvania,3146,1072,2074,0,0.0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,43.0,68.0,105.0,42.0,2
242,242,Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100,800,1250,0,0.0,0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,100.0,56.0,50.0,55.0,70.0,100.0,160.0,0
